;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;FGVDADOS - 12/11/2023 11:11:56;;;;;
;;;;;;
LEGENDA;;;;;;
Série;Título;Código;Fonte;Unidade;Fator de escala;Base do No. índice
1;Energia Elétrica, Consumo Industrial Brasil(53778);53778;EPE;GWH;?;--
2;Energia Elétrica, Consumo Industrial Brasil(53778) (Variação Percentual em Relação ao Período Anterior);53778;;;;--
3;Energia Elétrica, Consumo Total Brasil(210873);210873;EPE;GWH;?;--
4;Energia Elétrica, Consumo Total Brasil(210873) (Variação Percentual em Relação ao Período Anterior);210873;;;;--
;;;;;;
Data;1;2;3;4;;
01/1976;2816,8; - ;5660,6; - ;;
02/1976;2818,2;0,05;5529,5;-2,32;;
03/1976;2951,5;4,73;5685,3;2,82;;
04/1976;2969;0,59;5717,4;0,56;;
05/1976;3075,6;3,59;5854,3;2,39;;
06/1976;3110,5;1,13;5848,7;-0,1;;
07/1976;3234,6;3,99;6037,3;3,22;;
08/1976;3350,3;3,58;6115,1;1,29;;
09/1976;3388,8;1,15;6264;2,43;;
10/1976;3402,2;0,4;6274,7;0,17;;
11/1976;3452,5;1,48;6352,2;1,24;;
12/1976;3330,6;-3,53;6295,8;-0,89;;
01/1977;3253,9;-2,3;6338,6;0,68;;
02/1977;3292,1;1,17;6317,8;-0,33;;
03/1977;3244,4;-1,45;6279,2;-0,61;;
04/1977;3503,4;7,98;6617,5;5,39;;
05/1977;3517,1;0,39;6628,7;0,17;;
06/1977;3614;2,76;6608,2;-0,31;;
07/1977;3645,2;0,86;6677,3;1,05;;
08/1977;3712,3;1,84;6795,8;1,77;;
09/1977;3847,2;3,63;7092,7;4,37;;
10/1977;3848,8;0,04;7092,7;0;;
11/1977;3879,5;0,8;7165,5;1,03;;
12/1977;3879,3;-0,01;7190,7;0,35;;
01/1978;3729,5;-3,86;7056,3;-1,87;;
02/1978;3791;1,65;7260,7;2,9;;
03/1978;3755,6;-0,93;7120,5;-1,93;;
04/1978;3923,3;4,47;7318,3;2,78;;
05/1978;3926,1;0,07;7294,8;-0,32;;
06/1978;4091;4,2;7444,5;2,05;;
07/1978;4074,2;-0,41;7386,7;-0,78;;
08/1978;4195,1;2,97;7627,7;3,26;;
09/1978;4333;3,29;7856,6;3;;
10/1978;4312,6;-0,47;7803,4;-0,68;;
11/1978;4383,7;1,65;7997,3;2,48;;
12/1978;4315,6;-1,55;7903,7;-1,17;;
01/1979;4179,9;-3,14;7921,5;0,23;;
02/1979;4222,3;1,01;7851,2;-0,89;;
03/1979;4471,2;5,89;8228,4;4,8;;
04/1979;4413,2;-1,3;8140,6;-1,07;;
05/1979;4562,5;3,38;8357,5;2,66;;
06/1979;4672,9;2,42;8381,8;0,29;;
07/1979;4715;0,9;8445,5;0,76;;
08/1979;4769;1,15;8486;0,48;;
09/1979;4914,9;3,06;8845;4,23;;
10/1979;4787,7;-2,59;8696,5;-1,68;;
11/1979;4944,1;3,27;8982,8;3,29;;
12/1979;4874;-1,42;8980,6;-0,02;;
01/1980;4723;-3,1;9099;1,32;;
02/1980;4814,2;1,93;8949;-1,65;;
03/1980;4844;0,62;8952,1;0,03;;
04/1980;4913,2;1,43;9091,7;1,56;;
05/1980;5006,9;1,91;9176,9;0,94;;
06/1980;5162,6;3,11;9310,8;1,46;;
07/1980;5121,3;-0,8;9166,1;-1,55;;
08/1980;5409,2;5,62;9606,2;4,8;;
09/1980;5352,9;-1,04;9563,1;-0,45;;
10/1980;5407,6;1,02;9625;0,65;;
11/1980;5514,7;1,98;9988,2;3,77;;
12/1980;5111;-7,32;9408,2;-5,81;;
01/1981;5235,4;2,43;10102;7,37;;
02/1981;5030,8;-3,91;9468,3;-6,27;;
03/1981;5230,2;3,96;9804,1;3,55;;
04/1981;5066,6;-3,13;9405,3;-4,07;;
05/1981;5175,7;2,15;9656;2,67;;
06/1981;5058,8;-2,26;9359;-3,08;;
